,mean,std,energy,median,max,min,ptp,cluster,state,rolling_energy_max,rolling_energy_min,rolling_std_max,rolling_std_min,cluster_smooth,state_smooth
2025-05-08 10:58:47.584,0.00023387886550233964,0.3979492879622635,791.6600888091916,-0.052498145293131265,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,791.6600888091916,791.6600888091916,0.3979492879622635,0.3979492879622635,2,working
2025-05-08 10:58:48.706,-8.342104237378569e-05,0.3992046486303361,796.6624278842139,-0.052418570807194656,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,796.6624278842139,791.6600888091916,0.3992046486303361,0.3979492879622635,2,working
2025-05-08 10:58:49.894,0.00025134400012160897,0.3990828002201349,796.1764559453213,-0.05217347815284415,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,796.6624278842139,791.6600888091916,0.3992046486303361,0.3979492879622635,2,working
2025-05-08 10:58:50.982,3.734118624944562e-05,0.3991792146898922,796.5608901285758,-0.05222598328935038,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,796.6624278842139,791.6600888091916,0.3992046486303361,0.3979492879622635,2,working
2025-05-08 10:58:52.222,0.00023380430391270845,0.39925056254397834,796.8459307689868,-0.051773537791948404,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,796.8459307689868,791.6600888091916,0.39925056254397834,0.3979492879622635,2,working
2025-05-08 10:58:53.314,0.00012671150218532387,0.3993271716910515,797.1515683428454,-0.05198523650101529,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.1515683428454,796.1764559453213,0.3993271716910515,0.3990828002201349,2,working
2025-05-08 10:58:54.413,0.0001291582912860873,0.39929320257341105,797.0159564543552,-0.05222598328935038,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.1515683428454,796.1764559453213,0.3993271716910515,0.3990828002201349,2,working
2025-05-08 10:58:55.635,-6.480084404585131e-05,0.39923351567301746,796.7776337788978,-0.052418570807194656,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.1515683428454,796.5608901285758,0.3993271716910515,0.3991792146898922,2,working
2025-05-08 10:58:56.745,-0.00020374291826005431,0.39908811538017147,796.1975554205312,-0.052498145293131265,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.1515683428454,796.1975554205312,0.3993271716910515,0.39908811538017147,2,working
2025-05-08 10:58:57.833,-0.0005164784653021828,0.3979247891229621,791.5636786049963,-0.052418570807194656,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.1515683428454,791.5636786049963,0.3993271716910515,0.3979247891229621,2,working
2025-05-08 10:58:58.932,-0.0012017567372170695,0.3973119264980893,789.1331990174551,-0.052498145293131265,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.0159564543552,789.1331990174551,0.39929320257341105,0.3973119264980893,2,working
2025-05-08 10:59:00.265,-0.0009342907629211457,0.3975231391793323,789.9695707649195,-0.05232141319832132,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,796.7776337788978,789.1331990174551,0.39923351567301746,0.3973119264980893,2,working
2025-05-08 10:59:01.486,-0.00098699475264197,0.3976560717872238,790.4984975880078,-0.052418570807194656,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,796.1975554205312,789.1331990174551,0.39908811538017147,0.3973119264980893,2,working
2025-05-08 10:59:02.707,-0.0009338929644411877,0.39764577600998435,790.4570545100798,-0.05232141319832132,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,791.5636786049963,789.1331990174551,0.3979247891229621,0.3973119264980893,2,working
2025-05-08 10:59:03.918,-0.00029590783880938565,0.3977720306499509,790.9551570558053,-0.051941674591242444,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,790.9551570558053,789.1331990174551,0.3977720306499509,0.3973119264980893,2,working
2025-05-08 10:59:05.251,-7.992969030373453e-05,0.39783629313886176,791.2103389199904,-0.05190736416930326,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,791.2103389199904,789.9695707649195,0.39783629313886176,0.3975231391793323,2,working
2025-05-08 10:59:06.339,-0.00019723347548853933,0.39790430031666846,791.4810277254962,-0.051941674591242444,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,791.4810277254962,790.4570545100798,0.39790430031666846,0.39764577600998435,2,working
2025-05-08 10:59:07.539,-0.0005319485590979486,0.39797350926020053,791.7576022966695,-0.05222598328935038,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,791.7576022966695,790.4570545100798,0.39797350926020053,0.39764577600998435,2,working
2025-05-08 10:59:09.018,-0.0006614440039472504,0.3982484147476768,792.8525849861907,-0.05232141319832132,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,792.8525849861907,790.9551570558053,0.3982484147476768,0.3977720306499509,2,working
2025-05-08 10:59:10.105,0.0003472642731208191,0.3995178991902383,797.9137472775105,-0.052284508081553764,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,797.9137472775105,791.2103389199904,0.3995178991902383,0.39783629313886176,2,working
2025-05-08 10:59:11.214,7.97182845753591e-05,0.39962480422156355,798.3402525364904,-0.052418570807194656,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,798.3402525364904,791.4810277254962,0.39962480422156355,0.39790430031666846,2,working
2025-05-08 10:59:12.303,-0.0002883915184121032,0.399767748213298,798.9118641534822,-0.05316703352369639,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,798.9118641534822,791.7576022966695,0.399767748213298,0.39797350926020053,2,working
2025-05-08 10:59:13.414,-0.00037575106185501353,0.3997747587995041,798.9401749525375,-0.05319520658674695,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,798.9401749525375,792.8525849861907,0.3997747587995041,0.3982484147476768,2,working
2025-05-08 10:59:14.583,-0.0006085052450030789,0.39987695218270936,799.3498342509431,-0.05323176510764705,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,799.3498342509431,797.9137472775105,0.39987695218270936,0.3995178991902383,2,working
2025-05-08 10:59:15.657,-0.0008604347719712565,0.3999078783858287,799.4753314040627,-0.053926011459951954,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,799.4753314040627,798.3402525364904,0.3999078783858287,0.39962480422156355,2,working
2025-05-08 10:59:16.879,0.0009741703423853265,0.40499725737001474,819.9546146469726,-0.05352288041952448,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,819.9546146469726,798.9118641534822,0.40499725737001474,0.399767748213298,2,working
2025-05-08 10:59:17.994,0.001182621848618157,0.40612902617119667,824.5459816801082,-0.05386274454943335,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,824.5459816801082,798.9401749525375,0.40612902617119667,0.3997747587995041,2,working
2025-05-08 10:59:19.100,0.0003025617829486774,0.4059284436208115,823.7251865188937,-0.054448142969052385,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,824.5459816801082,799.3498342509431,0.40612902617119667,0.39987695218270936,2,working
2025-05-08 10:59:20.210,0.00023084564452377122,0.40597894128039397,823.9299513635427,-0.05429878550119656,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,824.5459816801082,799.4753314040627,0.40612902617119667,0.3999078783858287,2,working
2025-05-08 10:59:21.288,0.00029984249500602747,0.40595100869849277,823.8167606227645,-0.054181164801695436,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,824.5459816801082,819.9546146469726,0.40612902617119667,0.40499725737001474,2,working
2025-05-08 10:59:22.376,-0.0005131334463279265,0.4056781038085857,822.7103613544073,-0.05482906202624875,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,824.5459816801082,822.7103613544073,0.40612902617119667,0.4056781038085857,2,working
2025-05-08 10:59:23.575,-0.0008156553335909419,0.4057962288852378,823.19155277614,-0.05495025181537547,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,823.9299513635427,822.7103613544073,0.40597894128039397,0.4056781038085857,2,working
2025-05-08 10:59:24.918,-0.0003241577605955646,0.40882855510520616,835.5373219508525,-0.05495025181537547,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,835.5373219508525,822.7103613544073,0.40882855510520616,0.4056781038085857,2,working
2025-05-08 10:59:26.207,-4.267368145801598e-06,0.40940107719539776,837.8786008928034,-0.05495025181537547,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,837.8786008928034,822.7103613544073,0.40940107719539776,0.4056781038085857,2,working
2025-05-08 10:59:27.317,-7.587158707173102e-06,0.40963835679549976,838.8501134950527,-0.055461754060368754,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,838.8501134950527,822.7103613544073,0.40963835679549976,0.4056781038085857,2,working
2025-05-08 10:59:28.383,-0.0001818543208424238,0.40937296275732316,837.7636923158767,-0.05568862572669206,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,838.8501134950527,823.19155277614,0.40963835679549976,0.4057962288852378,2,working
2025-05-08 10:59:29.494,-0.0003178349490447002,0.40946281051404765,838.1318112723945,-0.05632103638011374,6.66383577389314,-2.969664209688852,9.633499983581991,2,working,838.8501134950527,835.5373219508525,0.40963835679549976,0.40882855510520616,2,working
