,state_smooth
2025-05-08 13:27:48.500,off
2025-05-08 13:27:49.000,off
2025-05-08 13:27:49.500,off
2025-05-08 13:27:50.000,off
2025-05-08 13:27:50.500,off
2025-05-08 13:27:51.000,off
2025-05-08 13:27:51.500,off
2025-05-08 13:27:52.000,off
2025-05-08 13:27:52.500,off
2025-05-08 13:27:53.000,off
2025-05-08 13:27:53.500,off
2025-05-08 13:27:54.000,off
2025-05-08 13:27:54.500,off
2025-05-08 13:27:55.000,off
2025-05-08 13:27:55.500,off
2025-05-08 13:27:56.000,off
2025-05-08 13:27:56.500,off
2025-05-08 13:27:57.000,off
2025-05-08 13:27:57.500,off
2025-05-08 13:27:58.000,off
2025-05-08 13:27:58.500,off
2025-05-08 13:27:59.000,off
2025-05-08 13:27:59.500,off
2025-05-08 13:28:00.000,off
2025-05-08 13:28:00.500,off
2025-05-08 13:28:01.000,off
2025-05-08 13:28:01.500,off
2025-05-08 13:28:02.000,off
2025-05-08 13:28:02.500,off
2025-05-08 13:28:03.000,off
2025-05-08 13:28:03.500,off
2025-05-08 13:28:04.000,off
2025-05-08 13:28:04.500,off
2025-05-08 13:28:05.000,off
2025-05-08 13:28:05.500,off
2025-05-08 13:28:06.000,off
2025-05-08 13:28:06.500,off
2025-05-08 13:28:07.000,off
2025-05-08 13:28:07.500,off
2025-05-08 13:28:08.000,off
2025-05-08 13:28:08.500,off
2025-05-08 13:28:09.000,off
2025-05-08 13:28:09.500,off
2025-05-08 13:28:10.000,off
2025-05-08 13:28:10.500,off
2025-05-08 13:28:11.000,off
2025-05-08 13:28:11.500,off
2025-05-08 13:28:12.000,off
2025-05-08 13:28:12.500,off
2025-05-08 13:28:13.000,off
2025-05-08 13:28:13.500,off
2025-05-08 13:28:14.000,off
2025-05-08 13:28:14.500,off
2025-05-08 13:28:15.000,off
2025-05-08 13:28:15.500,off
2025-05-08 13:28:16.000,off
2025-05-08 13:28:16.500,off
2025-05-08 13:28:17.000,off
2025-05-08 13:28:17.500,off
2025-05-08 13:28:18.000,off
2025-05-08 13:28:18.500,off
2025-05-08 13:28:19.000,off
2025-05-08 13:28:19.500,off
2025-05-08 13:28:20.000,off
2025-05-08 13:28:20.500,off
2025-05-08 13:28:21.000,off
2025-05-08 13:28:21.500,off
2025-05-08 13:28:22.000,off
2025-05-08 13:28:22.500,off
2025-05-08 13:28:23.000,off
2025-05-08 13:28:23.500,off
2025-05-08 13:28:24.000,off
2025-05-08 13:28:24.500,off
2025-05-08 13:28:25.000,off
2025-05-08 13:28:25.500,off
2025-05-08 13:28:26.000,off
2025-05-08 13:28:26.500,off
2025-05-08 13:28:27.000,off
2025-05-08 13:28:27.500,off
2025-05-08 13:28:28.000,off
2025-05-08 13:28:28.500,off
2025-05-08 13:28:29.000,off
2025-05-08 13:28:29.500,off
2025-05-08 13:28:30.000,off
2025-05-08 13:28:30.500,off
2025-05-08 13:28:31.000,off
2025-05-08 13:28:31.500,off
2025-05-08 13:28:32.000,off
2025-05-08 13:28:32.500,off
2025-05-08 13:28:33.000,off
2025-05-08 13:28:33.500,off
2025-05-08 13:28:34.000,off
2025-05-08 13:28:34.500,off
2025-05-08 13:28:35.000,off
2025-05-08 13:28:35.500,off
2025-05-08 13:28:36.000,off
2025-05-08 13:28:36.500,off
2025-05-08 13:28:37.000,off
2025-05-08 13:28:37.500,off
2025-05-08 13:28:38.000,off
2025-05-08 13:28:38.500,off
2025-05-08 13:28:39.000,off
2025-05-08 13:28:39.500,off
2025-05-08 13:28:40.000,off
2025-05-08 13:28:40.500,off
2025-05-08 13:28:41.000,off
2025-05-08 13:28:41.500,off
2025-05-08 13:28:42.000,off
2025-05-08 13:28:42.500,off
2025-05-08 13:28:43.000,off
2025-05-08 13:28:43.500,off
2025-05-08 13:28:44.000,off
2025-05-08 13:28:44.500,off
2025-05-08 13:28:45.000,off
2025-05-08 13:28:45.500,off
2025-05-08 13:28:46.000,off
2025-05-08 13:28:46.500,off
2025-05-08 13:28:47.000,off
2025-05-08 13:28:47.500,off
2025-05-08 13:28:48.000,off
2025-05-08 13:28:48.500,off
2025-05-08 13:28:49.000,off
2025-05-08 13:28:49.500,off
2025-05-08 13:28:50.000,off
2025-05-08 13:28:50.500,off
2025-05-08 13:28:51.000,off
2025-05-08 13:28:51.500,off
2025-05-08 13:28:52.000,off
2025-05-08 13:28:52.500,off
2025-05-08 13:28:53.000,off
2025-05-08 13:28:53.500,off
2025-05-08 13:28:54.000,off
2025-05-08 13:28:54.500,off
2025-05-08 13:28:55.000,off
2025-05-08 13:28:55.500,off
2025-05-08 13:28:56.000,off
2025-05-08 13:28:56.500,off
2025-05-08 13:28:57.000,off
2025-05-08 13:28:57.500,off
2025-05-08 13:28:58.000,off
2025-05-08 13:28:58.500,off
2025-05-08 13:28:59.000,off
2025-05-08 13:28:59.500,off
2025-05-08 13:29:00.000,off
2025-05-08 13:29:00.500,off
2025-05-08 13:29:01.000,off
2025-05-08 13:29:01.500,off
2025-05-08 13:29:02.000,off
2025-05-08 13:29:02.500,off
2025-05-08 13:29:03.000,off
2025-05-08 13:29:03.500,off
2025-05-08 13:29:04.000,off
2025-05-08 13:29:04.500,off
2025-05-08 13:29:05.000,off
2025-05-08 13:29:05.500,off
2025-05-08 13:29:06.000,off
2025-05-08 13:29:06.500,off
2025-05-08 13:29:07.000,off
2025-05-08 13:29:07.500,off
2025-05-08 13:29:08.000,off
2025-05-08 13:29:08.500,off
2025-05-08 13:29:09.000,off
2025-05-08 13:29:09.500,off
2025-05-08 13:29:10.000,off
2025-05-08 13:29:10.500,off
2025-05-08 13:29:11.000,off
2025-05-08 13:29:11.500,off
2025-05-08 13:29:12.000,off
2025-05-08 13:29:12.500,off
2025-05-08 13:29:13.000,off
2025-05-08 13:29:13.500,off
2025-05-08 13:29:14.000,idle
2025-05-08 13:29:14.500,idle
2025-05-08 13:29:15.000,idle
2025-05-08 13:29:15.500,idle
2025-05-08 13:29:16.000,idle
2025-05-08 13:29:16.500,idle
2025-05-08 13:29:17.000,idle
2025-05-08 13:29:17.500,idle
2025-05-08 13:29:18.000,idle
2025-05-08 13:29:18.500,idle
2025-05-08 13:29:19.000,idle
2025-05-08 13:29:19.500,idle
2025-05-08 13:29:20.000,idle
2025-05-08 13:29:20.500,idle
2025-05-08 13:29:21.000,idle
2025-05-08 13:29:21.500,idle
2025-05-08 13:29:22.000,idle
2025-05-08 13:29:22.500,idle
2025-05-08 13:29:23.000,idle
2025-05-08 13:29:23.500,idle
2025-05-08 13:29:24.000,idle
2025-05-08 13:29:24.500,idle
2025-05-08 13:29:25.000,idle
2025-05-08 13:29:25.500,idle
2025-05-08 13:29:26.000,idle
2025-05-08 13:29:26.500,idle
2025-05-08 13:29:27.000,idle
2025-05-08 13:29:27.500,idle
2025-05-08 13:29:28.000,idle
2025-05-08 13:29:28.500,idle
2025-05-08 13:29:29.000,idle
2025-05-08 13:29:29.500,idle
2025-05-08 13:29:30.000,idle
2025-05-08 13:29:30.500,idle
2025-05-08 13:29:31.000,idle
2025-05-08 13:29:31.500,idle
2025-05-08 13:29:32.000,idle
2025-05-08 13:29:32.500,idle
2025-05-08 13:29:33.000,idle
2025-05-08 13:29:33.500,idle
2025-05-08 13:29:34.000,idle
2025-05-08 13:29:34.500,idle
2025-05-08 13:29:35.000,idle
2025-05-08 13:29:35.500,idle
2025-05-08 13:29:36.000,idle
2025-05-08 13:29:36.500,idle
2025-05-08 13:29:37.000,idle
2025-05-08 13:29:37.500,idle
2025-05-08 13:29:38.000,idle
2025-05-08 13:29:38.500,idle
2025-05-08 13:29:39.000,idle
2025-05-08 13:29:39.500,idle
2025-05-08 13:29:40.000,idle
2025-05-08 13:29:40.500,idle
2025-05-08 13:29:41.000,idle
2025-05-08 13:29:41.500,idle
2025-05-08 13:29:42.000,idle
2025-05-08 13:29:42.500,idle
2025-05-08 13:29:43.000,idle
2025-05-08 13:29:43.500,idle
2025-05-08 13:29:44.000,idle
2025-05-08 13:29:44.500,idle
2025-05-08 13:29:45.000,idle
2025-05-08 13:29:45.500,idle
2025-05-08 13:29:46.000,idle
2025-05-08 13:29:46.500,idle
2025-05-08 13:29:47.000,idle
2025-05-08 13:29:47.500,idle
2025-05-08 13:29:48.000,idle
2025-05-08 13:29:48.500,idle
2025-05-08 13:29:49.000,idle
2025-05-08 13:29:49.500,idle
2025-05-08 13:29:50.000,idle
2025-05-08 13:29:50.500,idle
2025-05-08 13:29:51.000,idle
2025-05-08 13:29:51.500,idle
2025-05-08 13:29:52.000,idle
2025-05-08 13:29:52.500,idle
2025-05-08 13:29:53.000,idle
2025-05-08 13:29:53.500,idle
2025-05-08 13:29:54.000,idle
